Actual,Forecast
67107.0,67807.87
63715.00000000001,63805.758
60844.99999999999,60309.96
56978.0,57154.75
54074.0,53693.633
52505.0,51911.707
51776.0,51593.93
52084.99999999999,52009.918
53389.0,53531.223
56354.0,57266.055
63400.0,62489.316
69122.0,69016.74
70780.0,71091.26
71706.0,70945.32
73825.0,72378.48
71673.0,73905.55
69713.0,70755.36
68631.0,68766.77
67768.0,68641.88
67105.0,68443.73
67861.0,68654.92
69755.0,70011.0
68816.0,70696.48
67051.0,67223.27
63388.0,64648.83
60033.0,60509.227
57940.0,57111.473
54993.0,54761.406
52147.0,52060.754
50034.99999999999,50109.375
48397.0,48772.562
48531.0,47624.414
48590.0,49308.11
48804.99999999999,50065.586
49530.0,51134.984
52761.0,52462.332
56170.99999999999,56704.36
58846.0,58863.402
59926.99999999999,60117.637
60511.0,60119.566
59937.0,60315.836
58595.00000000001,59124.316
57399.00000000001,57564.83
57481.00000000001,57191.496
59033.0,58854.33
61584.0,60855.574
61037.0,62066.62
59097.0,59171.902
55553.99999999999,57069.312
53286.0,53437.453
52531.0,51329.13
49444.99999999999,50075.36
46989.0,46648.125
44704.0,44977.848
43787.0,42975.55
43681.0,43294.355
43756.0,43750.6
43654.0,44371.71
43229.0,44787.26
44651.0,44723.35
47925.99999999999,47449.59
50534.00000000001,51090.918
53395.00000000001,52337.33
56182.0,54579.566
56437.0,56777.406
54763.0,55669.047
53416.0,53270.66
53380.99999999999,53104.42
55535.0,54586.8
58741.0,57605.27
59204.99999999999,59526.297
57965.0,57627.285
55182.0,56068.137
53307.0,53395.137
53460.0,51468.344
50771.00000000001,51090.72
48291.0,47704.89
47026.0,46122.863
46215.0,45789.2
45839.0,46388.195
